medication_name,condition_or_context,dose_effect_band,condition_range,range_gap,range_resolution_status,official_dosage_candidate,official_indication_match,dominant_effect_gap,dominant_effect_resolution_status,mechanism_gap,mechanism_resolution_status,official_mechanism_candidate,dose_effect_gap,dose_effect_resolution_status,official_source_url,editorial_status,runtime_eligible
Agomelatina,TAG,25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao melancolica,25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao com agitacao/agressividade,25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao atipica,25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),25 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,Transtorno depressivo maior,25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),nao cadastrado,true,guideline_or_off_label_range_review_required,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,Anorexia nervosa,25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano. (DM/EMA/ANVISA/ST-E/GG/PENDENTE),nao cadastrado,true,guideline_or_off_label_range_review_required,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,TAG,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao melancolica,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao com agitacao/agressividade,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao atipica,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,Transtorno depressivo maior,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",nao cadastrado,true,guideline_or_off_label_range_review_required,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,Anorexia nervosa,"50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",nao cadastrado,true,guideline_or_off_label_range_review_required,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,TAG,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao melancolica,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao com agitacao/agressividade,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25-50 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,depressao atipica,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",25 (TM/T1),false,existing_local_range_preserved,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,Transtorno depressivo maior,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",nao cadastrado,true,guideline_or_off_label_range_review_required,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
Agomelatina,Anorexia nervosa,"O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (DM/EMA/ANVISA/ST-E/GG/PENDENTE)",nao cadastrado,true,guideline_or_off_label_range_review_required,,false,true,expert_pharmacology_synthesis_required,true,official_mechanism_candidate_extracted_pending_editorial_review,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,true,official_dosage_and_pharmacology_normalization_required,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,pending_formal_review,false
