medication_name,disease_or_context,role,status,phase,notes,source_reference,review_status
Agomelatina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Amitriptilina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Bupropiona,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Bupropiona XL,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Citalopram,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Clomipramina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Desipramina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Desvenlafaxina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Dosulepina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Doxepina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Duloxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Escitalopram,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluoxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Fluvoxamina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Imipramina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Maprotilina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mianserina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Mirtazapina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Nortriptilina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Paroxetina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Sertralina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Trazodona,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
Venlafaxina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL
