medication_name,disease_or_context,role,status,phase,notes,source_reference,review_status,official_indication_match,official_indications_summary,official_source_anchor,evidence_review_status,next_review_action,runtime_eligible
Agomelatina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Major depressive episodes in adults,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan#Therapeutic indication,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Amitriptilina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Bupropiona,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Major Depressive Disorder | Seasonal Affective Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Bupropiona XL,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Major Depressive Disorder | Seasonal Affective Disorder,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Citalopram,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,Citalopram tablets are indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies ( 14)] .,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Clomipramina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,CALMERA tablets are to be used as part of a comprehensive behavioral management program to treat separation anxiety in dogs greater than 6 months of,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e#Indications & Usage:,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Desipramina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Desipramine hydrochloride tablets are indicated for the treatment of depression.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a3b4b25d-0ddb-4531-badb-f1ba3168ac07#INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
Desvenlafaxina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,true,PRISTIQ is indicated for the treatment of adults with major depressive disorder (MDD) [see Clinical Studies (14)].,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce#1 INDICATIONS AND USAGE,official_label_indication_match,editorial_review_of_indication_and_role,false
Dosulepina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,,,official_indication_source_missing,locate_alternate_official_source,false
Doxepina,Transtorno depressivo maior,tratamento_principal_antidepressivo,principal_guideline_or_regulatory,aguda/manutencao,"Escolha depende de gravidade, sintomas predominantes, comorbidades, riscos e tratamentos previos.",NICE NG222; texto fundador,REFERENCIA_MAPEADA_PENDENTE_REVISAO_FORMAL,false,Doxepin tablets are indicated for the treatment of insomnia characterized by difficulty with sleep maintenance. The clinical trials performed in support of efficacy were up,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1#1 INDICATIONS AND USAGE,no_direct_label_match_guideline_or_off_label_review_required,validate_in_guideline_or_systematic_evidence,false
