medication_id,medication_name,drug_class,backlog_rows,known_fields,pending_fields,not_registered_fields,source_reference,source_status,next_research_need
agomelatina,Agomelatina,Atipico antidepressivo,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",source_reference_mapped_pending_formal_review,"validar fonte, secao, trecho e revisao medica final antes de promover para validated_for_table"
amitriptilina,Amitriptilina,Triciclico,1,drug_class | dose_band | pharmacological_target | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
aripiprazol,Aripiprazol,Antipsicotico atipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
bupropiona,Bupropiona,NDRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | cognition_score | sedation_risk | weight_gain_risk | extrapyramidal_risk | source_reference,formal_source_review,,"FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
bupropiona_xl,Bupropiona XL,NDRI,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
carbamazepina,Carbamazepina,Estabilizador de humor,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
citalopram,Citalopram,SSRI/serotonergico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | source_reference,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,"FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
clomipramina,Clomipramina,Triciclico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | source_reference,cognition_score,weight_gain_risk | extrapyramidal_risk,"FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
clorpromazina,Clorpromazina,Antipsicotico tipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | extrapyramidal_risk | source_reference,cognition_score,weight_gain_risk,"DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa086a21-de85-4b03-af58-49b70acf8cf0",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
clozapina,Clozapina,Antipsicotico atipico,1,drug_class | dose_band | dominant_effect | pharmacological_target | receptor_or_mechanism | anxiety_score | sleep_score | mood_score | energy_score | sedation_risk | weight_gain_risk | source_reference,cognition_score,extrapyramidal_risk,"FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=883b5d43-0339-7dc1-f775-93791fb9b978",official_label_located_pending_formal_review,"extrair secao, trecho e campo especifico da fonte oficial antes de promover para validated_for_table"
