medication_name,drug_class,condition_or_context,condition_key,audit_status,condition_range,dose_effect_min,dose_effect_max,range_source,dose_effect_source,missing_fields
Agomelatina,Atipico antidepressivo,Transtorno depressivo maior,depressao_ansiosa,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,1,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Agomelatina,Atipico antidepressivo,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,1,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Agomelatina,Atipico antidepressivo,Transtorno depressivo maior,depressao_ansiosa,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,50,50,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Agomelatina,Atipico antidepressivo,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,50,50,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Agomelatina,Atipico antidepressivo,Transtorno depressivo maior,depressao_ansiosa,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,50,50,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Agomelatina,Atipico antidepressivo,Anorexia nervosa,bulimia_anorexia,RESEARCH_REQUIRED_NO_COMPARABLE_RANGE,nao cadastrado,50,50,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",dose_effect_band | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source | dose_effect_source
Amitriptilina,Triciclico,Insonia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Dor neuropatica ou sindromes dolorosas,dor,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Fibromialgia,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
Amitriptilina,Triciclico,Enxaqueca - prevencao,,USE_DOSE_EFFECT_PENDING_CONDITION_RANGE,nao cadastrado,10,25,TM/Aba 1 consultada; par medicamento-quadro nao cadastrado,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",condition_key | dominant_effect | mechanism_or_target | condition_range | condition_range_min | condition_range_max | range_source
