medication_name,source_system,source_status,source_title,source_version,source_date,source_url,source_locator,indications_anchor,indications_summary,dosage_anchor,dosage_excerpt,mechanism_anchor,mechanism_excerpt,warnings_anchor,warnings_excerpt,interactions_anchor,interactions_excerpt,content_sha256,extraction_status,editorial_status,runtime_eligible
Acamprosato,DailyMed/FDA,official_label_located_pending_formal_review,"ACAMPROSATE CALCIUM (ACAMPROSATE CALCIUM ENTERIC-COATED) TABLET, DELAYED RELEASE [NCS HEALTHCARE OF KY, LLC DBA VANGARD LABS]",2,"Jun 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f2bf6742-4b85-45e2-8daa-0f9bfc75a128.xml,1 INDICATIONS AND USAGE,Acamprosate calcium delayed-release tablets are indicated for the maintenance of abstinence from alcohol in patients with alcohol dependence who are abstinent at treatment initiation. Treatment,2 DOSAGE AND ADMINISTRATION,The recommended dose of acamprosate calcium delayed-release tablets is two 333 mg tablets (each dose should total 666 mg) taken three times daily.,12.1 Mechanism of Action,The mechanism of action of acamprosate in maintenance of alcohol abstinence is not completely understood. Chronic alcohol exposure is hypothesized to alter the normal balance,5 WARNINGS AND PRECAUTIONS,"Contains sodium sulfite, a sulfite that may cause allergic-type reactions including anaphylactic symptoms and life-threatening or less severe asthmatic episodes in certain susceptible people. The",7 DRUG INTERACTIONS,"Acamprosate does not affect the pharmacokinetics of alcohol. The pharmacokinetics of acamprosate are not affected by alcohol, diazepam, or disulfiram, and clinically important interactions between",942bfae51a27803f49459dbacba02abc958c01080482d8acf0a6c94fd1be3291,official_claim_anchors_extracted,pending_formal_review,false
Agomelatina,EMA,official_product_information_located,Valdoxan EPAR,current_public_epar,,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,Therapeutic indication,Major depressive episodes in adults,How is Valdoxan used?,25 mg once daily at bedtime; 50 mg once daily may be considered after two weeks without improvement.,How does Valdoxan work?,Agonism at MT1 and MT2 receptors and antagonism at 5-HT2C receptors.,Safe and effective use,"Liver function monitoring is required before and during treatment, including after dose increase.",Product information,Review the current product information for medicine-specific interactions.,,official_claim_anchors_extracted,pending_formal_review,false
Alprazolam,DailyMed/FDA,official_label_located_pending_formal_review,ALPRAZOLAM TABLET [ST. MARY'S MEDICAL PARK PHARMACY],2,"Jun 23, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5fe795-6b41-aecf-e053-6394a90af562,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/fc5fe795-6b41-aecf-e053-6394a90af562.xml,1 INDICATIONS AND USAGE,"Alprazolam tablets are indicated for the: acute treatment of generalized anxiety disorder (GAD) in adults. treatment of panic disorder (PD), with or without agoraphobia in",2 DOSAGE AND ADMINISTRATION,"2 DOSAGE AND ADMINISTRATION Generalized Anxiety Disorder: ( 2.1) Recommended starting oral dosage is 0.25 mg to 0.5 mg three times daily. | Dosage may be increased, at intervals of every 3 to 4 days, to a maximum recommended daily dose of 4 mg, given in divided doses. | Panic Disorder: Recommended starting oral dosage is 0.5 mg three times daily.",12.1 Mechanism of Action,"Alprazolam is a 1,4 benzodiazepine. Alprazolam exerts its effect for the acute treatment of generalized anxiety disorder and panic disorder through binding to the benzodiazepine",5 WARNINGS AND PRECAUTIONS,"5 WARNINGS AND PRECAUTIONS Effects on Driving and Operating Machinery: Patients receiving alprazolam should be cautioned against operating machinery or driving a motor vehicle, as",7 DRUG INTERACTIONS,7 DRUG INTERACTIONS Use with Opioids: Increase the risk of respiratory depression. ( 7.1) Use with Other CNS Depressants: Produces additive CNS depressant effects. (,500d08336ac9e04cdea700efc36c47482247c9bdab02e60f9b6f48d6d39f87ca,official_claim_anchors_extracted,pending_formal_review,false
Amissulprida,DailyMed/FDA,official_label_located_context_mismatch_review_required,"BARHEMSYS (AMISULPRIDE) INJECTION, SOLUTION [ACACIA PHARMA LTD]",8,"Jun 23, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/ab23bc6e-b6a8-165f-e053-2a95a90ab144.xml,,,,,,,,,,,,official_source_context_mismatch_rejected,pending_formal_review,false
Amitriptilina,DailyMed/FDA,official_label_located_pending_formal_review,"AMITRIPTYLINE HYDROCHLORIDE TABLET, COATED [ST. MARY'S MEDICAL PARK PHARMACY]",2,"Jul 01, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/35aa7ab3-321a-97f7-e063-6294a90a91e2.xml,INDICATIONS AND USAGE,For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.,DOSAGE AND ADMINISTRATION,"Initial Dosage for Adults For outpatients, 75 mg of amitriptyline hydrochloride a day in divided doses is usually satisfactory. | If necessary, this may be increased to a total of 150 mg per day. | An alternate method of initiating therapy in outpatients is to begin with 50 mg to 100 mg amitriptyline hydrochloride at bedtime.",,,,,Drug Interactions,Drug Interactions Topiramate Some patients may experience a large increase in amitriptyline concentration in the presence of topiramate and any adjustments in amitriptyline dose should,64ea2071dada522a9e2581de151c7e56ed14f5480e5e229dd4519d3c59339e2d,official_claim_anchors_extracted,pending_formal_review,false
Aripiprazol,DailyMed/FDA,official_label_located_pending_formal_review,ARIPIPRAZOLE (ARIPIPRAZOLE ORAL) SOLUTION [ATLANTIC BIOLOGICALS CORP.],2,"Jul 13, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/042b725c-1c17-4cfb-80b2-c841226d795e.xml,1 INDICATIONS AND USAGE,Aripiprazole oral solution is indicated for the treatment of: • Schizophrenia [see Clinical Studies (14.1)] • Acute Treatment of Manic and Mixed Episodes associated with,2 DOSAGE AND ADMINISTRATION,"2 DOSAGE AND ADMINISTRATION Initial Dose Recommended Dose Maximum Dose Schizophrenia – adults (2.1) 10 to 15 mg/day 10 to 15 mg/day 30 mg/day Schizophrenia | Aripiprazole has been systematically evaluated and shown to be effective in a dose range of 10 to 30 mg/day, when administered as the tablet formulation; | however, doses higher than 10 or 15 mg/day were not more effective than 10 or 15 mg/day.",12.1 Mechanism of Action,"The mechanism of action of aripiprazole in schizophrenia or bipolar mania, is unclear. However, the efficacy of aripiprazole in the listed indications could be mediated",5 WARNINGS AND PRECAUTIONS,"5 WARNINGS AND PRECAUTIONS • Cerebrovascular Adverse Reactions in Elderly Patients with Dementia-Related Psychosis:Increased incidence of cerebrovascular adverse reactions (e.g., stroke, transient ischemic attack, including",7 DRUG INTERACTIONS,7 DRUG INTERACTIONS Dosage adjustment due to drug interactions (7.1): Factors Dosage Adjustments for Aripiprazole oral solution Known CYP2D6 Poor Metabolizers Administer half of usual,772263cb2fbe21c6dfe976c69a44b35e94a273b73c931ad0f195508965dd1101,official_claim_anchors_extracted,pending_formal_review,false
Asenapina,DailyMed/FDA,official_label_located_pending_formal_review,"SAPHRIS (ASENAPINE MALEATE) TABLET [ALLERGAN, INC.]",22,"Dec 12, 2025",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5429f134-839f-4ffc-9944-55f51238def8,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/5429f134-839f-4ffc-9944-55f51238def8.xml,1 INDICATIONS AN D USAGE,SAPHRIS is indicated for: Schizophrenia in adults [see Clinical Studies ( 14.1 )] Bipolar I disorder [see Clinical Studies ( 14.2 )] • Acute monotherapy,2 D OSAGE AND ADMINISTRATION,"2 D OSAGE AND ADMINISTRATION Starting Dose Recommended Dose Maximum Dose Schizophrenia – acute treatment in adults (2.2) 5 mg sublingually twice daily 5 mg | (2.1, 17) 2.1 Administration Instructions SAPHRIS is a sublingual tablet. | 2.2 Schizophrenia The recommended dose of SAPHRIS is 5 mg given twice daily.",12.1 Mechanism of Action,"The mechanism of action of asenapine, in schizophrenia and bipolar I disorder, is unknown. It has been suggested that the efficacy of asenapine in schizophrenia",5 WARNINGS AND PRECAUTIONS,"5 WARNINGS AND PRECAUTIONS Cerebrovascular Adverse Reactions in Elderly Patients with Dementia-Related Psychosis : Increased incidence of cerebrovascular adverse reactions (e.g., stroke, transient ischemic attack).",7 DRUG INTERACTIONS,"7 DRUG INTERACTIONS Antihypertensive Drugs: SAPHRIS may cause hypotension. (5.7, 7.1, 12.3) Paroxetine (CYP2D6 substrate and inhibitor): Reduce paroxetine by half when used in combination",569b6e56ea0c33c669a36178e56213c76e926d7c7fd600f33b429065fa7a3cac,official_claim_anchors_extracted,pending_formal_review,false
Atomoxetina,DailyMed/FDA,official_label_located_pending_formal_review,STRATTERA (ATOMOXETINE HYDROCHLORIDE) CAPSULE [ELI LILLY AND COMPANY],68,"Jul 15, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=309de576-c318-404a-bc15-660c2b1876fb,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/309de576-c318-404a-bc15-660c2b1876fb.xml,1 INDICATIONS AND USAGE,STRATTERA is indicated for the treatment of attention-deficit/hyperactivity disorder (ADHD) in adults and pediatric patients 6 years of age and older. STRATTERA is indicated as,2 DOSAGE AND ADMINISTRATION,(2.3) 1 Administer either as once daily dosage in the morning or as evenly divided twice daily dosage in the morning and late afternoon/early evening. | Age and Body Weight Starting Dosage Target Dosage 1 Maximum Total Daily Dose 1 Pediatrics who weigh less than 70 kg 0.5 mg/kg/day 1.2 mg/kg/day | Table 1: Recommended Dosage of STRATTERA for Acute Treatment of ADHD a Administer either as once daily dosage in the morning or as evenly divided,12.1 Mechanism of Action,"The precise mechanism by which STRATTERA produces its therapeutic effects in ADHD is unknown, but is thought to be related to selective inhibition of the",5 WARNINGS AND PRECAUTIONS,5 WARNINGS AND PRECAUTIONS Severe Liver Injury: STRATTERA should be discontinued and not restarted in patients with jaundice or laboratory evidence of liver injury. (5.2),7 DRUG INTERACTIONS,See Table 8 for clinically significant drug interactions with STRATTERA and other drugs. Table 8: Clinically Significant Drug Interactions with STRATTERA and Other Drugs Monoamine,1908b0bf01da683461b75205488d4e968c3a61013ed7ca6a6f27605caf41daf7,official_claim_anchors_extracted,pending_formal_review,false
Brexpiprazol,DailyMed/FDA,official_label_located_pending_formal_review,"REXULTI (BREXPIPRAZOLE) TABLET REXULTI (BREXPIPRAZOLE) KIT [OTSUKA AMERICA PHARMACEUTICAL, INC.]",26,"May 28, 2026",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d301358-6291-4ec1-bd87-37b4ad9bd850,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/2d301358-6291-4ec1-bd87-37b4ad9bd850.xml,1 INDICATIONS AND USAGE,REXULTI is indicated for: Adjunctive treatment to antidepressants for major depressive disorder (MDD) in adults Treatment of schizophrenia in adults and pediatric patients ages 13,2 DOSAGE AND ADMINISTRATION,"2 DOSAGE AND ADMINISTRATION Administer REXULTI orally once daily with or without food. | (2, 12.3) Indication Starting Dosage Recommended Target Dosage Maximum Dosage MDDAdults (2.2) 0.5 mg/day or1 mg/day 2 mg/day 3 mg/day SchizophreniaAdults (2.3) 1 mg/day 2 | (2.5) CrCl<60 mL/minute: Maximum recommended dosage is 2 mg once daily for patients with MDD or agitation associated with dementia due to Alzheimer's disease and",12.1 Mechanism of Action,"The mechanism of action of REXULTI in the adjunctive treatment of major depressive disorder, treatment of agitation associated with dementia due to Alzheimer's disease, or",5 WARNINGS AND PRECAUTIONS,"5 WARNINGS AND PRECAUTIONS Cerebrovascular Adverse Reactions in Elderly Patients with Dementia-Related Psychosis: Increased incidence of cerebrovascular adverse reactions (e.g., stroke, transient ischemic attack) (5.3)",7 DRUG INTERACTIONS,7 DRUG INTERACTIONS Factors Dosage Adjustments for REXULTI ( 2.7 ) Strong CYP2D6REXULTI may be administered without dosage adjustment in patients with MDD when administered,debbfe79acd98cfa9c27019d82e269aab29be777e621ad6fbf4213db11d0b974,official_claim_anchors_extracted,pending_formal_review,false
Bromazepam,DailyMed/FDA,not_found,,,,,,,,,,,,,,,,,alternate_official_source_required,pending_formal_review,false
