medication_name,drug_class,local_source_reference,source_status,known_fields_count,pending_fields_count,not_registered_fields_count,source_mapped_fields_count,pending_fields,not_registered_fields,disease_use_rows,decision_matrix_status,decision_matrix_source_tabs,audit_result
Agomelatina,Atipico antidepressivo,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,2,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Amitriptilina,Triciclico,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",source_reference_mapped_pending_formal_review,7,3,2,12,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,8,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Aripiprazol,Antipsicotico atipico,"FDA/Abilify Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretriz CANMAT para transtorno depressivo maior.",source_reference_mapped_pending_formal_review,6,3,3,12,dominant_effect | receptor_or_mechanism | cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,7,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Bupropiona,NDRI,"FDA/Wellbutrin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Bupropiona XL,NDRI,"FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Carbamazepina,Estabilizador de humor,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Citalopram,SSRI/serotonergico,"FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Clomipramina,Triciclico,"FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Clorpromazina,Antipsicotico tipico,"DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,weight_gain_risk,4,draft_from_source_audit,Tabela 3,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Clozapina,Antipsicotico atipico,"FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,extrapyramidal_risk,3,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Desipramina,Triciclico,"FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,2,draft_from_source_audit,Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
