medication_id,medication_name,drug_class,dose_band,dominant_effect,pharmacological_target,receptor_or_mechanism,anxiety_score,sleep_score,mood_score,energy_score,cognition_score,sedation_risk,weight_gain_risk,extrapyramidal_risk,explanation_for_motor,current_source_status,source_required,source_reference,integration_status,drug_class_source,dose_band_source,dominant_effect_source,pharmacological_target_source,receptor_or_mechanism_source,anxiety_score_source,sleep_score_source,mood_score_source,energy_score_source,cognition_score_source,sedation_risk_source,weight_gain_risk_source,extrapyramidal_risk_source,source_legend
agomelatina,Agomelatina,Atipico antidepressivo,"25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano.
50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico.
Faixa usual: 25–50 mg/dia.

O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases. (EMA/ANVISA/ST-E/GG)",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (EMA/ANVISA/ST-E/GG),"sono, humor (TM/T1/T2)",SEM_MUDANCA_QUALITATIVA_COMPROVADA. (EMA/ANVISA/ST-E/GG),2,3,1,2,PENDENTE_PESQUISAR,nao cadastrado,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 25 mg à noite: antagonismo 5-HT2C e agonismo MT1/MT2; ação antidepressiva e possível regularização do ritmo circadiano.
50 mg à noite: mesmo mecanismo, com maior exposição; não surge um novo perfil farmacológico.
Faixa usual: 25–50 mg/dia.

O aumento para 50 mg deve ser acompanhado com atenção à função hepática, pois a dose maior eleva o risco de aumento das transaminases.",source_reference_mapped_pending_formal_review,"Fonte para dose e segurança: EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa. Fonte para mecanismo: STAHL-MEC; GG. Texto da fonte para o robô: Fonte: EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed. A agomelatina não é aprovada nos Estados Unidos; portanto, a referência regulatória principal deve ser EMA/Anvisa, não FDA. A EMA sustenta 25–50 mg e a monitorização hepática.","EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:PENDENTE_PESQUISAR",backlog_only,TM(Tabela 1|Tabela 2),"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.","EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
amitriptilina,Amitriptilina,Triciclico,"10–25 mg/dia: predominam, clinicamente, sedação, efeito anticolinérgico e utilização para dor/sono; não é necessariamente dose antidepressiva.
50–100 mg/dia: aumenta a inibição da recaptação de serotonina e noradrenalina; começa a faixa antidepressiva.
100–150 mg/dia: efeito antidepressivo mais consistente, com maior carga anticolinérgica, cardiovascular e sedativa.
Faixa antidepressiva usual: aproximadamente 75–150 mg/dia. (DM/ST-E/GG/Maudsley)","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)","humor, dor, sono (TM/T1/T2)","EFEITO_CLINICO_DEPENDENTE_DA_DOSE, sem afirmar mudança absoluta de receptor. (DM/ST-E/GG/Maudsley)",2,3,1,2,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 10–25 mg/dia: predominam, clinicamente, sedação, efeito anticolinérgico e utilização para dor/sono; não é necessariamente dose antidepressiva.
50–100 mg/dia: aumenta a inibição da recaptação de serotonina e noradrenalina; começa a faixa antidepressiva.
100–150 mg/dia: efeito antidepressivo mais consistente, com maior carga anticolinérgica, cardiovascular e sedativa.
Faixa antidepressiva usual: aproximadamente 75–150 mg/dia.",official_label_located_pending_formal_review,"Dose: FDA/DAILYMED, Amitriptyline Hydrochloride Tablets; Anvisa. Mecanismo: STAHL-MEC; GG. Complemento: MAUDSLEY para monitorização e uso psiquiátrico. Fonte: DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines. As separações entre “dose sedativa” e “dose antidepressiva” devem ser descritas como perfil clínico didático, não como mudança receptorial comprovada.","DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2",backlog_only,TM(Tabela 1|Tabela 2),"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.","DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",TM(Tabela 1|Tabela 2),"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
aripiprazol,Aripiprazol,Antipsicotico atipico,"2–5 mg/dia: potencialização antidepressiva.
10–15 mg/dia: faixa antipsicótica/antimaníaca comum.
Até 30 mg/dia: maior exposição, com risco crescente de acatisia. (DM/ST-PG/ST-E/GG/Maudsley)","Antipsicótico geralmente pouco sedativo e relativamente neutro
metabolicamente, podendo ser ativador e causar acatisia. (DM/ST-PG/ST-E/GG/Maudsley)","psicose, mania, potencializacao, prolactina (TM/T5)","Agonismo parcial D2 e D3;
agonismo parcial 5-HT1A;
antagonismo 5-HT2A. (DM/ST-PG/ST-E/GG/Maudsley)",1,0,4,3,2,1,1,2,"Baixo risco de sedação e ganho de peso em comparação com diversos
antipsicóticos, mas risco relevante de acatisia.",official_label_located_pending_formal_review,"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY","FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e",backlog_only,TM(Tabela 5),"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY","FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY",TM(Tabela 5),"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY",TM(Tabela 5),TM(Tabela 5),TM(Tabela 5),TM(Tabela 5),"FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY","FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY","FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY","FDA_ABILIFY; STAHL_ESSENTIAL; STAHL_PG;
GOODMAN_GILMAN; MAUDSLEY",TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
bupropiona,Bupropiona,NDRI,"150 mg/dia: início ou menor faixa terapêutica.
300 mg/dia: faixa antidepressiva habitual.
Até 450 mg/dia: apenas conforme formulação e bula, com aumento do risco
convulsivo. (DM/ST-PG/ST-E/GG)","Antidepressivo ativador, com possível melhora de energia, motivação
e atenção quando esses sintomas estão associados à depressão. (DM/ST-PG/ST-E/GG)","energia, humor, libido, tabagismo (TM/T1/T2)","Inibição da recaptação de noradrenalina e dopamina — NET e DAT;
antagonismo nicotínico também contribui para cessação do tabagismo. (DM/ST-PG/ST-E/GG)",1,0,1,4,3,0,0,0,"Baixíssima sedação e menor propensão a ganho de peso.
O cognition_score 3 representa possível benefício indireto sobre
energia e atenção, não efeito pró-cognitivo universal.",official_label_located_pending_formal_review,"FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN","FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43",backlog_only,TM(Tabela 1|Tabela 2),"FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN","FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN",TM(Tabela 1|Tabela 2),"FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),"FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN","FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN","FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN","FDA_WELLBUTRIN; FDA_WELLBUTRIN_XL;
STAHL_ESSENTIAL; STAHL_PG; GOODMAN_GILMAN",TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
bupropiona_xl,Bupropiona XL,NDRI,"150 mg uma vez ao dia: início ou menor faixa terapêutica.
300 mg uma vez ao dia: dose antidepressiva usual.
450 mg uma vez ao dia: apenas quando permitido pela apresentação/bula específica. (DM/ST-E/GG)","igual à bupropiona; XL é uma formulação, não outro mecanismo. (DM/ST-E/GG)","energia, humor, libido, tabagismo (TM/T1/T2)","igual à bupropiona; XL é uma formulação, não outro mecanismo. (DM/ST-E/GG)",1,0,1,5,PENDENTE_PESQUISAR,nao cadastrado,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 150 mg uma vez ao dia: início ou menor faixa terapêutica.
300 mg uma vez ao dia: dose antidepressiva usual.
450 mg uma vez ao dia: apenas quando permitido pela apresentação/bula específica.",official_label_located_pending_formal_review,"Dose e formulação: FDA/DAILYMED, Wellbutrin XL. Mecanismo: mesma fonte farmacológica da bupropiona. Fonte: FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed. No banco, registre como formulação de liberação prolongada, não como princípio ativo diferente.","FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43",backlog_only,TM(Tabela 1|Tabela 2),"FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),"FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
carbamazepina,Carbamazepina,Estabilizador de humor,"200–400 mg/dia: início/titulação.
600–1.200 mg/dia: faixa comum em mania ou epilepsia, conforme resposta.

Há autoindução enzimática; a dose não corresponde diretamente a uma exposição fixa. (DM/GG/Maudsley/CANMAT/ISBD)",GUIADO_POR_RESPOSTA_NIVEL_E_INTERACOES. (DM/GG/Maudsley/CANMAT/ISBD),"mania, impulsividade, estabilidade (TM/T7/T8)",GUIADO_POR_RESPOSTA_NIVEL_E_INTERACOES. (DM/GG/Maudsley/CANMAT/ISBD),1,1,4,1,PENDENTE_PESQUISAR,nao cadastrado,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 200–400 mg/dia: início/titulação.
600–1.200 mg/dia: faixa comum em mania ou epilepsia, conforme resposta.

Há autoindução enzimática; a dose não corresponde diretamente a uma exposição fixa.",official_label_located_pending_formal_review,"Dose, autoindução e interações: FDA/DAILYMED, Tegretol — carbamazepine; Anvisa. Uso em transtorno bipolar: CANMAT/ISBD; MAUDSLEY. Mecanismo: GG; STAHL-MEC. Fonte: FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.","FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053",backlog_only,TM(Tabela 7|Tabela 8),"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.","FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",TM(Tabela 7|Tabela 8),"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),PENDENTE_PESQUISAR,TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM(Tabela 7|Tabela 8),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
citalopram,Citalopram,SSRI/serotonergico,"10 mg/dia: início ou dose reduzida.
20 mg/dia: dose terapêutica usual.
40 mg/dia: limite usual em adultos selecionados; maior risco de prolongamento do QT. (DM/ST-E/GG)",SEM_MUDANCA_QUALITATIVA. (DM/ST-E/GG),"ansiedade, humor (TM/T1/T2)",SEM_MUDANCA_QUALITATIVA. (DM/ST-E/GG),3,1,1,2,PENDENTE_PESQUISAR,nao cadastrado,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 10 mg/dia: início ou dose reduzida.
20 mg/dia: dose terapêutica usual.
40 mg/dia: limite usual em adultos selecionados; maior risco de prolongamento do QT.",official_label_located_pending_formal_review,"Dose e QT: FDA/DAILYMED, Celexa — citalopram; Anvisa. Mecanismo: STAHL-MEC; GG. Fonte: FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1",backlog_only,TM(Tabela 1|Tabela 2),"FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),"FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
clomipramina,Clomipramina,Triciclico,"25–50 mg/dia: titulação; já pode haver carga anticolinérgica e sedativa.
75–150 mg/dia: faixa antidepressiva/antiobsessiva.
150–250 mg/dia: maior exposição serotoninérgica e noradrenérgica, com aumento dos riscos cardíaco, convulsivo e anticolinérgico. (DM/ST-E/GG/APA/NICE)",MESMO_MECANISMO_MAIOR_EXPOSICAO. (DM/ST-E/GG/APA/NICE),"humor, dor, sono (TM/T1/T2)",MESMO_MECANISMO_MAIOR_EXPOSICAO. (DM/ST-E/GG/APA/NICE),2,3,1,2,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 25–50 mg/dia: titulação; já pode haver carga anticolinérgica e sedativa.
75–150 mg/dia: faixa antidepressiva/antiobsessiva.
150–250 mg/dia: maior exposição serotoninérgica e noradrenérgica, com aumento dos riscos cardíaco, convulsivo e anticolinérgico.",official_label_located_pending_formal_review,"Dose e segurança: FDA/DAILYMED, Anafranil — clomipramine; Anvisa. TOC: APA/NICE; STAHL-PG. Mecanismo: STAHL-MEC; GG. Fonte: FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.","FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e",backlog_only,TM(Tabela 1|Tabela 2),"FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.","FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.",TM(Tabela 1|Tabela 2),"FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.",TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),PENDENTE_PESQUISAR,TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM(Tabela 1|Tabela 2),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
clorpromazina,Clorpromazina,Antipsicotico tipico,"25–100 mg/dia: sedação, antagonismo H1, muscarínico e α1 muito aparentes.
100–300 mg/dia: maior efeito antipsicótico por bloqueio D2.
300–800 mg/dia: tratamento antipsicótico de maior intensidade, com elevada carga autonômica e metabólica.

As fronteiras não são rígidas. (DM/ST-E/GG/Maudsley)",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG/Maudsley),"psicose, agitacao, sedacao (TM/T3)",MUDANCA_CLINICA_RELEVANTE_COM_A_DOSE. (DM/ST-E/GG/Maudsley),1,2,2,0,PENDENTE_PESQUISAR,cautela registrada: sedacao,nao cadastrado,cautela registrada: eps,"Dose - efeito cadastrado a partir da tabela enviada: 25–100 mg/dia: sedação, antagonismo H1, muscarínico e α1 muito aparentes.
100–300 mg/dia: maior efeito antipsicótico por bloqueio D2.
300–800 mg/dia: tratamento antipsicótico de maior intensidade, com elevada carga autonômica e metabólica.

As fronteiras não são rígidas.",official_label_located_pending_formal_review,"Dose: FDA/DAILYMED, Chlorpromazine Hydrochloride; Anvisa. Mecanismo e afinidade receptorial: STAHL-MEC; GG. Monitorização: MAUDSLEY. Fonte: DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley. As faixas sedativa e antipsicótica não possuem divisões absolutas.","DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa086a21-de85-4b03-af58-49b70acf8cf0",backlog_only,TM(Tabela 3),"DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.","DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",TM(Tabela 3),"DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",TM(Tabela 3),TM(Tabela 3),TM(Tabela 3),TM(Tabela 3),PENDENTE_PESQUISAR,TM(Tabela 3),TM(Tabela 3),TM(Tabela 3),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
clozapina,Clozapina,Antipsicotico atipico,"12,5–50 mg/dia: titulação inicial; predominam hipotensão, sedação e efeitos autonômicos.
100–300 mg/dia: progressão para faixa antipsicótica, dependendo da exposição individual.
300–450 mg/dia: faixa terapêutica comum para esquizofrenia resistente.
Acima de 450 mg/dia: maior exposição e maior risco de convulsão; o limite usual é 900 mg/dia em algumas bulas.

Não deve ser simplificada apenas pela dose: tabagismo, inflamação, cafeína e CYP1A2 alteram fortemente os níveis. (DM/ST-E/GG/Maudsley)",EXPOSICAO_E_NIVEL_PLASMATICO_RELEVANTES. (DM/ST-E/GG/Maudsley),"psicose, refratariedade (TM/T5)",EXPOSICAO_E_NIVEL_PLASMATICO_RELEVANTES. (DM/ST-E/GG/Maudsley),1,4,3,0,PENDENTE_PESQUISAR,cautela registrada: sedacao,cautela registrada: metabolico,nao cadastrado,"Dose - efeito cadastrado a partir da tabela enviada: 12,5–50 mg/dia: titulação inicial; predominam hipotensão, sedação e efeitos autonômicos.
100–300 mg/dia: progressão para faixa antipsicótica, dependendo da exposição individual.
300–450 mg/dia: faixa terapêutica comum para esquizofrenia resistente.
Acima de 450 mg/dia: maior exposição e maior risco de convulsão; o limite usual é 900 mg/dia em algumas bulas.

Não deve ser simplificada apenas pela dose: tabagismo, inflamação, cafeína e CYP1A2 alteram fortemente os níveis.",official_label_located_pending_formal_review,"Dose e monitorização hematológica: FDA/DAILYMED, Clozaril — clozapine; Anvisa. Níveis plasmáticos e interações com tabagismo: MAUDSLEY; consenso de monitorização terapêutica. Mecanismo: STAHL-MEC; GG. Fonte: FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; DM:https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=883b5d43-0339-7dc1-f775-93791fb9b978",backlog_only,TM(Tabela 5),"FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.","FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 5),"FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",TM(Tabela 5),TM(Tabela 5),TM(Tabela 5),TM(Tabela 5),PENDENTE_PESQUISAR,TM(Tabela 5),TM(Tabela 5),TM(Tabela 5),TM=Tabela Motor/local; DM=DailyMed/FDA; ST-E=Stahl Essential; ST-PG=Stahl Prescriber; GG=Goodman Gilman; APA=American Psychiatric Association; NICE=NICE; EMA=European Medicines Agency; ANVISA=Agencia regulatoria brasileira
