signal_id,ui_label,pattern_hint,motor_action,source_id,source_section,source_url,validation_status,runtime_scope,toxidrome_definition,antidote_or_specific_measure,emergency_boundary
NONE,Nenhum sinal agudo identificado,Sem sinal agudo marcado,continue_routine_flow,PSYCHRX-SCREEN,Operational screening option,internal://psychrx/toxidrome-screening,operational,screening_only,Nenhum toxindrome sugerido nesta etapa,Nenhum antidoto ou contramedida exibido,Continuar fluxo de rotina se restante da seguranca estiver avaliado
TOX-001,Rebaixamento de consciencia ou dificuldade para despertar,Possivel intoxicacao ou emergencia neurologica,urgent_medical_assessment,HHS-CHEMM,Solvents anesthetics sedatives toxidrome,https://chemm.hhs.gov/toxicsyndromes.htm,official_source_reviewed,screening_and_countermeasure_display,"Depressor do SNC/sedativo: reducao do nivel de consciencia podendo evoluir para coma, respiracao deprimida e ataxia.","Sem antidoto universal. Suporte de via aerea, respiracao e circulacao; se benzodiazepinico isolado, flumazenil e apenas consideracao especializada por risco em uso cronico ou overdose mista.","Nao calcula dose, nao substitui emergencia, SAMU/192, pronto-socorro, CIATox ou toxicologia."
TOX-002,Respiracao lenta superficial ou dificil,Possivel depressao respiratoria por opioide ou outro depressor,emergency_response,HHS-CHEMM|CDC-OD,Opioid toxidrome and overdose response,https://chemm.hhs.gov/opioids.htm|https://www.cdc.gov/stop-overdose/response/index.html,official_source_reviewed,screening_and_countermeasure_display,"Opioide ou depressor respiratorio: depressao do SNC e respiratoria; em opioide pode haver miose e sonolencia.","Naloxona se suspeita de opioide, junto com suporte de via aerea e respiracao. Se nao opioide ou exposicao mista, suporte vital e toxicologia.","Nao calcula dose de naloxona nem decide via; acionar emergencia/192 e CIATox."
TOX-003,Pupilas muito contraidas com sonolencia,Padrao compativel com toxindrome opioide,emergency_response,HHS-CHEMM,Opioid toxidrome,https://chemm.hhs.gov/opioids.htm,official_source_reviewed,screening_and_countermeasure_display,"Toxidrome opioide: agonismo opioide com miose, depressao do SNC e depressao respiratoria.","Naloxona e suporte de via aerea/respiracao sao medidas especificas reconhecidas para suspeita de opioide.","Nao calcula dose; observar ressedacao e buscar emergencia."
TOX-004,Febre ou hipertermia com agitacao,Possivel sindrome serotoninergica SNM ou outra emergencia,urgent_medical_assessment,DM-SS|DM-NMS|NIH-MEDLINEPLUS,Serotonin Syndrome and Neuroleptic Malignant Syndrome,https://medlineplus.gov/ency/article/007272.htm|https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5162f162-8454-4c07-9670-682df7c30b0f,official_source_reviewed,screening_and_countermeasure_display,"Hipertermia com agitacao pode ocorrer em sindrome serotoninergica, sindrome neuroleptica maligna, simpatomimeticos, anticolinergicos ou infeccao/metabolico.","Nao ha antidoto unico. Suspender agente suspeito e suporte urgente; cyproheptadina pode ser considerada na sindrome serotoninergica; dantroleno para NMS e off-label/nao indicado no rotulo de capsulas.","Nao diferencia sozinho SS vs SNM; exige avaliacao presencial urgente."
TOX-005,Clonus hiperreflexia tremor ou mioclonia,Padrao neuromuscular compativel com sindrome serotoninergica,urgent_medical_assessment,NIH-MEDLINEPLUS|DM-CYPRO,Serotonin syndrome and cyproheptadine pharmacology,https://medlineplus.gov/ency/article/007272.htm|https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=949743a7-f922-4248-aa28-818236c80a67,official_source_reviewed,screening_and_countermeasure_display,"Sindrome serotoninergica: toxicidade serotoninergica com alteracao mental, instabilidade autonomica e achados neuromusculares como clonus, tremor ou hiperreflexia.","Suspender serotonergicos, suporte e benzodiazepinico para agitacao/rigidez quando indicado; cyproheptadina e antagonista serotoninergico usado como consideracao especializada.","Nao calcula cyproheptadina; confirmar diagnostico e gravidade em emergencia."
TOX-006,Rigidez muscular intensa com alteracao mental,Padrao compativel com sindrome neuroleptica maligna,urgent_medical_assessment,DM-NMS|DM-DANTROLENE,Neuroleptic Malignant Syndrome and dantrolene warning,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5162f162-8454-4c07-9670-682df7c30b0f,official_source_reviewed,screening_and_countermeasure_display,"Sindrome neuroleptica maligna: emergencia associada a antagonismo dopaminergico ou retirada dopaminergica, com rigidez, febre, alteracao mental e instabilidade autonomica.","Nao ha antidoto unico. Suspender antipsicotico/agente suspeito e suporte intensivo; dantroleno e bromocriptina sao consideracoes especializadas, com ressalva de uso off-label conforme rotulo do dantroleno.","Nao calcula dose nem confirma SNM; precisa atendimento presencial urgente."
TOX-007,Taquicardia pressao instavel ou sudorese intensa,Instabilidade autonomica que exige avaliacao do contexto toxicologico,urgent_medical_assessment,HHS-CHEMM|DM-SS|DM-NMS,Stress response sympathomimetic and autonomic instability,https://chemm.hhs.gov/toxicsyndromes.htm|https://medlineplus.gov/ency/article/007272.htm,official_source_reviewed,screening_and_countermeasure_display,"Instabilidade autonomica pode acompanhar simpatomimeticos, serotonina, SNM, abstinencia, anticolinergicos ou outra emergencia clinica.","Sem antidoto universal. Suporte, resfriamento quando hipertermia, benzodiazepinico conforme emergencia/toxicologia e tratamento dirigido ao agente.","Nao usar para escolher psicofarmaco; interrompe ranking e orienta urgencia."
TOX-008,Pupilas dilatadas pele quente e seca ou retencao urinaria,Padrao compativel com toxindrome anticolinergica,urgent_medical_assessment,HHS-CHEMM,Anticholinergic toxidrome,https://chemm.hhs.gov/anticholinergic.htm,official_source_reviewed,screening_and_countermeasure_display,"Toxidrome anticolinergico: antagonismo colinergico com midriase, pele seca/quente, taquicardia, hipertermia, retencao urinaria e delirium/hallucinacoes.","Fisostigmina pode ser antidoto em casos selecionados; medidas incluem resfriamento, benzodiazepinicos e suporte geral.","Nao calcula fisostigmina; alto risco em QRS largo/overdose mista, exige toxicologia."
TOX-009,Agitacao intensa com sudorese e hipertensao,Padrao compativel com toxindrome simpatomimetica,urgent_medical_assessment,HHS-CHEMM,Stress-response sympathomimetic toxidrome,https://chemm.hhs.gov/toxicsyndromes.htm,official_source_reviewed,screening_and_countermeasure_display,"Toxidrome simpatomimetico/resposta ao estresse: excesso catecolaminergico com agitacao, confusao, taquicardia, hipertensao, taquipneia e sudorese.","Sem antidoto unico. Suporte, controle de agitacao e hipertermia e avaliacao de exposicao por emergencia/toxicologia.","Nao orienta betabloqueio ou dose; precisa avaliacao clinica."
