case,kind,axis,condition,medication,candidate,quadro,faixa,range_kind,dose,leitura_da_dose,status
1,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
2,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
2,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,10.0,yes,ok
3,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Desvenlafaxina,yes,transtorno de estresse,50-100 (TM/T1),quadro,100.0,yes,ok
3,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,0.5,yes,ok
3,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,62.5,yes,ok
4,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina,yes,TAG,75-225 (TM/T1),quadro,75.0,yes,ok
4,prescription,sono/sedacao,Insonia,Trazodona,yes,Insonia,25-100 mg a noite (DM/ST-E/GG),quadro,62.5,yes,ok
4,prescription,ansiedade/resgate,Transtorno bipolar - manutencao,Clonazepam,yes,Transtorno do panico,"0,5-1 mg/dia (DM)",quadro,1.0,yes,ok
4,prescription,substancias/craving,Transtorno por uso de alcool,Naltrexona,yes,vicios,25-50 (TM/T1),quadro,25.0,yes,ok
5,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Venlafaxina XR,yes,TAG,75-225 (TM/T1),quadro,150.0,yes,ok
5,prescription,sono/sedacao,Insonia,Mirtazapina,yes,TAG,15-45 (TM/T1),quadro,45.0,yes,ok
5,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Bromazepam,yes,Ansiedade aguda,6-18 mg/dia (HC),quadro,6.0,yes,ok
5,prescription,impulsividade/irritabilidade,Esquizofrenia e transtornos psicoticos,Risperidona,yes,Esquizofrenia e transtornos psicoticos,"0,25–1 mg/dia: baixa exposição e usos específicos. (DM/ST-PG/ST-E/GG/Maudsley)",dose_efeito,0.625,yes,ok
5,prescription,substancias/craving,Dor neuropatica ou sindromes dolorosas,Buprenorfina,yes,Transtorno por uso de opioides,Inducao deve considerar tipo e momento do ultimo opioide. Manutencao comum 8-24 mg/dia sublingual; formulacoes injetaveis mensais possuem esquemas proprios. (DM/ANVISA),dose_efeito,24.0,yes,ok
6,prescription,humor/TEPT,Dor neuropatica ou sindromes dolorosas,Duloxetina,yes,TAG,60-120 (TM/T1),quadro,120.0,yes,ok
7,prescription,humor/TEPT,Transtorno depressivo maior,Fluoxetina,yes,transtorno de estresse,20-60 (TM/T1),quadro,20.0,yes,ok
7,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Diazepam,yes,TAG,2-10 (TM/T1),quadro,6.0,yes,ok
8,prescription,humor/TEPT,Transtorno de ansiedade generalizada,Sertralina,yes,transtorno de estresse,50-200 (TM/T1),quadro,125.0,yes,ok
8,prescription,ansiedade/resgate,Transtorno de ansiedade generalizada,Lorazepam,yes,Ansiedade grave,"0,5-1 mg por tomada: ansiolitico. 1-2 mg por tomada: maior sedacao e controle de agitacao. Protocolos de catatonia exigem avaliacao e monitorizacao. (DM/ANVISA/Maudsley)",dose_efeito,2.0,yes,ok
