concern_id,theoretical_topic,didactic_source,didactic_source_sha256,didactic_pages,theoretical_concern,required_app_inputs,motor_check,decision_impact,advice_output,official_source_id,official_source_section,official_source_url,validation_status,runtime_eligible
TPC-001,Escolha do tratamento,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,"7-9, 13","Escolha depende de quadro, comorbidades, interacoes, resposta previa e tolerabilidade.",diagnostico_ou_fenotipo|comorbidades|receita_atual|historico_de_tentativas|preferencias,"Verificar contexto, tratamentos previos, riscos e preferencias antes de comparar candidatos.",contextualizar_ranking,Exibir fatores que determinaram a comparacao; nao transformar preferencia em regra absoluta.,NICE-NG222-1.4.2-1.4.11,Needs and preferences; starting antidepressant medication,https://www.nice.org.uk/guidance/ng222/chapter/Recommendations,official_guideline_validated,false
TPC-002,Reavaliacao inicial,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,14,"A resposta deve ser reavaliada precocemente, junto com efeitos adversos e adesao.",tempo_de_uso|resposta|adesao|tolerabilidade|risco_suicida,Distinguir exposicao insuficiente de ausencia de resposta em tempo adequado.,qualificar_adequacao_do_ensaio,"Mostrar tempo informado, resposta, adesao e tolerabilidade antes da acao pratica.",NICE-NG222-1.4.3-1.4.11,Review between 2 and 4 weeks; first medication review,https://www.nice.org.uk/guidance/ng222/chapter/Recommendations,official_guideline_validated,false
TPC-003,Ensaio antidepressivo adequado,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,15-17,"Dose, tempo, adesao e diagnostico devem ser verificados antes de concluir falha.",dose_atual|faixa_por_quadro|tempo_de_uso|adesao|diagnostico_ou_fenotipo|resposta,Somente classificar resposta inadequada quando os componentes do ensaio estiverem documentados.,evitar_falsa_refratariedade,Exibir componentes presentes e ausentes do ensaio; manter conclusao como indeterminada quando incompleto.,NICE-NG222-1.9.1-1.9.6,Further-line treatment after no or limited response,https://www.nice.org.uk/guidance/ng222/chapter/Recommendations,official_guideline_validated,false
TPC-004,Fase do tratamento,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,18-21,"Fase aguda, continuacao e manutencao possuem objetivos temporais diferentes.",fase_do_tratamento|remissao|recorrencia|gravidade|tempo_de_uso,Nao comparar manutencao e fase aguda como se fossem o mesmo objetivo.,ajustar_objetivo_temporal,"Identificar a fase e o objetivo: resposta aguda, consolidacao ou prevencao de recaida.",NICE-NG222-1.4.11-1.8,Continuation after remission and relapse prevention,https://www.nice.org.uk/guidance/ng222/chapter/Recommendations,official_guideline_validated,false
TPC-005,Retirada e descontinuacao,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,22-23,Retirada abrupta pode produzir sintomas; meia-vida e historico de retirada importam.,medicamento|dose|duracao|historico_de_retirada|motivo_da_retirada,Sinalizar necessidade de plano individual de retirada e monitorizacao sem calcular esquema automatico.,alertar_retirada,Mostrar risco de retirada e necessidade de reducao gradual acordada com o prescritor.,NICE-NG222-1.4.12-1.4.21,Stopping antidepressant medication,https://www.nice.org.uk/guidance/ng222/chapter/recommendations,official_guideline_validated,true
TPC-006,"Carga anticolinergica, sedativa e cardiovascular",Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,24-25,"Triciclicos exigem atencao a cognicao, quedas, retencao, sedacao e conducao cardiaca.",idade|cognicao|quedas|retencao_urinaria|constipacao|cardiovascular|polifarmacia,Aplicar cautelas por perfil e encaminhar detalhes ao claim regulatorio do medicamento.,penalizar_por_risco,Exibir riscos relevantes e o motivo da reducao de elegibilidade.,DM-DRUG-LABEL,"Warnings, precautions, adverse reactions and interactions",https://dailymed.nlm.nih.gov/,drug_specific_validation_required,false
TPC-007,Perfil dependente da dose,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,"26, 33-34, 68-70",Alguns medicamentos apresentam efeitos clinicos distintos conforme dose e contexto.,medicamento|dose_atual|quadro|alvo|resposta|tolerabilidade,Comparar dose atual com faixa do quadro; manter explicacao integral separada da faixa numerica.,comparar_dose_e_contexto,"Exibir leitura da dose, faixa do quadro, efeito dominante e fonte sem extrapolar entre medicamentos.",DM-DRUG-LABEL,Dosage and Administration; Clinical Pharmacology,https://dailymed.nlm.nih.gov/,drug_specific_validation_required,false
TPC-008,Funcao sexual,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,27-28,"Sintomas sexuais podem decorrer do quadro, da medicacao ou de outros fatores.",funcao_sexual_baseline|inicio_temporal|medicamentos|resposta_do_quadro|outros_fatores,Nao atribuir automaticamente causalidade ao medicamento.,diferenciar_sintoma_e_evento_adverso,"Mostrar temporalidade, alternativas causais e fonte do risco por medicamento.",DM-DRUG-LABEL,Warnings and Precautions; Adverse Reactions,https://dailymed.nlm.nih.gov/,drug_specific_validation_required,false
TPC-009,Risco de convulsao,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,29-31,Medicamentos que reduzem o limiar convulsivo exigem triagem de fatores predisponentes.,convulsao|trauma_craniano|transtorno_alimentar|alcool|retirada_de_sedativos|interacoes,Cruzar fatores do paciente com contraindicoes e advertencias da fonte oficial.,excluir_ou_sinalizar_candidato,"Exibir o fator de risco, o medicamento afetado e a fonte regulatoria.",DM-BUPROPION-LABEL,Contraindications; Warnings and Precautions - Seizure,https://dailymed.nlm.nih.gov/,official_label_anchor_available,false
TPC-010,Toxicidade serotoninergica,Paicofarmacos 1 2.pdf,3e655b549accbc3f8f4e286a8f5e133ef3c7b4ec77c94a193b0e13fafc2846a5,34-36,Associacoes serotoninergicas e mudancas recentes podem elevar risco de toxicidade.,lista_completa_de_medicamentos|substancias|mudanca_recente|sinais_autonomicos|neuromusculares,Avaliar interacoes e sinais de urgencia separadamente do ranking de rotina.,acionar_alerta_de_interacao_ou_urgencia,Exibir combinacao envolvida e recomendar avaliacao urgente quando houver quadro compativel.,DM-DRUG-LABEL,Warnings and Precautions - Serotonin Syndrome; Drug Interactions,https://dailymed.nlm.nih.gov/,drug_specific_validation_required,false
